Video ID,Title,Duration (seconds),Views,Category,Category ID,Like Rate,Comment Rate
QIw6ITiwgBU,The Electric State | Final Trailer | Netflix,131,1801529,科幻/奇幻 Sci-Fi/Fantasy,4,0.8,0.09
a_1-vyLcBpM,How to Sell Drugs Online (Fast): The Final Season | Official Trailer | Netflix,117,30781,劇情 Drama,1,3.39,0.24
pPNrWvatXiU,Asterix & Obelix: The Big Fight | Official Trailer | Netflix,170,385261,動畫 Animation,7,2.58,0.17
B7RRBoGsydg,"With Love, Meghan | How to Make a Fruit Rainbow | Sneak Peek | Netflix",90,348686,紀錄片 Documentary,6,0.58,2.15
Vdro1p53LYQ,"With love, Meghan | Official trailer | Netflix",110,2310458,劇情 Drama,1,0.96,3.86
blIm8p6u_i4,Tyler Perry’s Beauty in Black | Part 2 Official Trailer | Netflix,122,1077295,劇情 Drama,1,1.1,0.1
u2Yj_rmCzhE,Apple Cider Vinegar | Official Trailer | Netflix,159,726835,劇情 Drama,1,0.83,0.08
HAQfDRvrU0s,HAVOC | Official Teaser | Netflix,60,3233162,動作/冒險 Action/Adventure,3,2.56,0.13
Ed1sGgHUo88,Squid Game: Season 2 | Official Trailer | Netflix,107,17319910,恐怖/驚悚 Horror/Thriller,5,1.67,0.06
HWpuoEzfwp0,Formula 1: Drive to Survive - Season 7 | First Look | Netflix,80,373983,紀錄片 Documentary,6,2.42,0.09
kf9e1o7rUeo,Don't Die: The Man Who Wants to Live Forever | Official Trailer | Netflix,133,734472,紀錄片 Documentary,6,1.14,0.2
MbKeytYuJRA,American Primeval | Official Mature-Rated Trailer | Netflix,77,1107061,劇情 Drama,1,0.97,0.1
U8WMvCrywYg,American Primeval | Official Trailer | Netflix,130,1728874,劇情 Drama,1,0.85,0.11
MV2nYw6gL_w,"Back in Action | Jamie Foxx, Cameron Diaz | Official Trailer | Netflix",128,1895975,動作/冒險 Action/Adventure,3,0.9,0.07
oGA8VYSdjZk,Court of Gold | Official Trailer | Netflix,141,1608171,紀錄片 Documentary,6,2.62,0.11
pEO34SeTsY0,Counterstrike | Official Trailer | Netflix,117,3416987,動作/冒險 Action/Adventure,3,2.05,0.15
